epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.7274,1.07139,3.05381,1.47416,0.36066,0.42763,0.32913,0.19773,1.06632,2.83848,1.62777,0.000366667,0.000366667,0.000366667
2,66.8294,1.10373,2.3359,1.48706,0.22923,0.2261,0.15054,0.07676,2.13195,3.42106,2.50626,0.000700518,0.000700518,0.000700518
3,98.0212,1.15388,2.2086,1.50404,0.41463,0.43578,0.35587,0.19721,1.38261,2.96292,1.90815,0.000997707,0.000997707,0.000997707
4,130.018,1.13822,2.12164,1.50613,0.4969,0.53529,0.5179,0.30577,1.32061,2.21144,1.85243,0.000946016,0.000946016,0.000946016
5,160.76,1.10673,1.95649,1.47714,0.53719,0.48717,0.46078,0.29011,1.19902,2.28301,1.72485,0.000891022,0.000891022,0.000891022
6,191.113,1.05498,1.86994,1.45813,0.56274,0.52221,0.55705,0.35593,1.196,1.97645,1.74049,0.000836027,0.000836027,0.000836027
7,222.005,1.03884,1.79459,1.43558,0.65094,0.53412,0.5995,0.40149,1.05932,1.67754,1.56909,0.000781033,0.000781033,0.000781033
8,253.125,1.01074,1.67158,1.40417,0.73415,0.60995,0.70256,0.4737,1.0241,1.55172,1.55237,0.000726038,0.000726038,0.000726038
9,283.727,0.95078,1.55206,1.35838,0.75071,0.5992,0.71524,0.4849,1.03636,1.47249,1.5593,0.000671044,0.000671044,0.000671044
10,314.403,0.93814,1.51353,1.35406,0.72867,0.59669,0.7052,0.4844,1.01215,1.45118,1.49942,0.000616049,0.000616049,0.000616049
11,347.342,0.8237,1.34659,1.34362,0.72367,0.63191,0.74661,0.54269,0.94645,1.45095,1.47608,0.000561055,0.000561055,0.000561055
12,376.339,0.76679,1.19664,1.30983,0.85754,0.65156,0.79988,0.60594,0.85915,1.2372,1.3767,0.00050606,0.00050606,0.00050606
13,405.552,0.71339,1.07264,1.24918,0.7625,0.72485,0.81577,0.62669,0.81874,1.18467,1.32186,0.000451066,0.000451066,0.000451066
14,434.675,0.70254,0.98141,1.23974,0.85505,0.75656,0.86401,0.66204,0.83066,0.97794,1.3397,0.000396071,0.000396071,0.000396071
15,464.022,0.66575,0.90132,1.19685,0.84915,0.7387,0.84795,0.66238,0.78687,1.02854,1.29699,0.000341077,0.000341077,0.000341077
16,494.205,0.63493,0.85944,1.17904,0.85751,0.77523,0.8768,0.70182,0.74192,0.92857,1.24756,0.000286083,0.000286083,0.000286083
17,523.274,0.59715,0.78721,1.14692,0.83108,0.80349,0.88738,0.71961,0.70486,0.87836,1.21279,0.000231088,0.000231088,0.000231088
18,552.236,0.56997,0.76223,1.12453,0.85017,0.80289,0.89673,0.72221,0.71388,0.86062,1.23278,0.000176094,0.000176094,0.000176094
19,581.325,0.55181,0.69527,1.11113,0.8653,0.80818,0.9005,0.7399,0.68154,0.83427,1.2053,0.000121099,0.000121099,0.000121099
20,610.414,0.51836,0.65642,1.08705,0.88111,0.81037,0.90769,0.74882,0.67204,0.79469,1.1926,6.61045e-05,6.61045e-05,6.61045e-05
